,Calendar_Date,DayOfWeek,Week,Quarter,Month,Year,Year_half,Summer,Autumn,Winter,Spring,is_weekday,Description,is_holiday
363,2014-12-30,2,1,4,12,2014,2,1,0,0,0,1,,0
364,2014-12-31,3,1,4,12,2014,2,1,0,0,0,1,,0
365,2015-01-01,4,1,1,1,2015,1,1,0,0,0,1,New Year's Day,1
366,2015-01-02,5,1,1,1,2015,1,1,0,0,0,1,,0
367,2015-01-03,6,1,1,1,2015,1,1,0,0,0,0,,0
368,2015-01-04,7,1,1,1,2015,1,1,0,0,0,0,,0
369,2015-01-05,1,2,1,1,2015,1,1,0,0,0,1,,0
370,2015-01-06,2,2,1,1,2015,1,1,0,0,0,1,,0
371,2015-01-07,3,2,1,1,2015,1,1,0,0,0,1,,0
372,2015-01-08,4,2,1,1,2015,1,1,0,0,0,1,,0
373,2015-01-09,5,2,1,1,2015,1,1,0,0,0,1,,0
374,2015-01-10,6,2,1,1,2015,1,1,0,0,0,0,,0
375,2015-01-11,7,2,1,1,2015,1,1,0,0,0,0,,0
376,2015-01-12,1,3,1,1,2015,1,1,0,0,0,1,,0
377,2015-01-13,2,3,1,1,2015,1,1,0,0,0,1,,0
378,2015-01-14,3,3,1,1,2015,1,1,0,0,0,1,,0
379,2015-01-15,4,3,1,1,2015,1,1,0,0,0,1,,0
380,2015-01-16,5,3,1,1,2015,1,1,0,0,0,1,,0
381,2015-01-17,6,3,1,1,2015,1,1,0,0,0,0,,0
382,2015-01-18,7,3,1,1,2015,1,1,0,0,0,0,,0
383,2015-01-19,1,4,1,1,2015,1,1,0,0,0,1,,0
384,2015-01-20,2,4,1,1,2015,1,1,0,0,0,1,,0
385,2015-01-21,3,4,1,1,2015,1,1,0,0,0,1,,0
386,2015-01-22,4,4,1,1,2015,1,1,0,0,0,1,,0
387,2015-01-23,5,4,1,1,2015,1,1,0,0,0,1,,0
